Abuse,Addiction,Anxiety,Complaining about using the bot,Coronavirus/Lockdown,Depression,Empty,Family & Relationships,Hate myself,Help,I don't know what to do,I feel ugly,Lonely,Lost,Overwhelmed,Self-harm,Suicidal,Upset,Useless/Worthless/Failure
abuses me,I'm addicted,Im having really bad anxiety ,this bot is bad,this pandemic,I have a history of depression,i feel emptiness,"I see people in beautiful romantic relationships and I think I want that too!""",I hate myself,I need help,I don't know what to do,I feel ugly,I'm lonely,I'm feeling lost,I'm overwhelmed,I self-harm,I want to kill myself,I am sad,I'm useless
I'm a victim of abuse,I'm an addict,I suffer from anxiety,this bot is awful,COVID,my depression started,I feel empty,my family,I really hate myself,can you help?,I just am not sure what to do,I am ugly,I'm alone,I'm feeling forlorn,I'm feeling overwhelmed,I hurt myself,I'm feeling suicidal,i'm sad,I feel useless
I'm being abused,is an alcoholic,I'm suffering from anxiety,this bot is terrible,COVID-19,I was diagnosed with depression,I can't feel anything,my girlfriend had sex with,I despise myself,help me please,,I look at myself in the mirror and feel disgusted,I'm very lonely,,YeahÂ¬ I just wish I didnt have to do so much work.,I'm a self-harmer,I want to end my life,im sad,it just makes me feel useless
is abusing me,I am an alcoholic,I'm having a panic attack,this bot is atrocious,coronavirus,I suffer from depression,I feel numb,I cant seem to find a girlfriend,I can't stand myself,,,Ive begun to hate how I look.,I'm very alone,,I have too much to do,sometimes I cut myself,I want to end it all,i feel sad,I'm totally useless
,I am suffering from addiction,AM SO SCARED,this bot is shit,lockdown,I have depression,,friendzoned me,I loathe myself,,,I am so overweight and ugly,I have no one to connect with.,,I can't cope,I cut when I'm feeling down,I'm going to kill myself,i am feeling sad,I can't believe how useless I am
,I have addiction issues,I AM SO SCARED,this bot is crap,,,,I have been trying to date for so long and nobody wants me,Ive been feeling unworthy of the life I live,,,I am fat and ugly,I don’t have any friends,,I cant handle all of the pressure,Sometimes I cut myself,I'm going to end my life today,i'm feeling sad,I'm worthless
,I'm using drugs and I can't stop,and i get very anxious constantly,you are a bad bot,,,,I want a boyfriend,The world would be better without me,,,I don't like my appearance,I don't see my friends much,,it makes me feel overwhelmed,When I feel bad I hurt myself,I want to die,im feeling sad,I feel worthless
,I have an addiction,the pressure is getting to me,you are an awful bot,,,,I want a girlfriend,I dont like how I am,,,I don't like how I look,I don't see people much,,I don't know how to handle it,I try to stop myself from cutting,I want to be dead,I am upset,it just makes me feel worthless
,I'm addicted to cocaine,im just scared,you are a terrible bot,,,,I want to be in a relationship,There are things about myself that I don't like,,,,Im meant to be alone,,I'm not managing,Can you think of anything to help me stop cutting myself?,I want to go to sleep and never wake up again,i'm upset,I'm totally worthless
