Abuse,Addiction,Anxiety,Complaining about using the bot,Coronavirus/Lockdown,Depression,Empty,Family & Relationships,Hate myself,Help,I don't know what to do,I feel ugly,Lonely,Lost,Overwhelmed,Self-harm,Suicidal,Upset,Useless/Worthless/Failure
abuses me,I'm addicted,Im having really bad anxiety ,this bot is bad,I hate this pandemic,I cant seem to have the energy to wake up in morning,all i feel is emptiness,"I see people in beautiful romantic relationships and I think I want that too!""",I hate myself,Really¬ I need help but feel as if there is no time to get it.',I don’t know what to do,I feel ugly,I'm lonely,I'm feeling lost,I'm overwhelmed,I self-harm,I want to kill myself,I am sad,I'm useless
abuses me,I'm addicted,I suffer from anxiety,this bot is bad,I'm scared because of this pandemic,I had a history of anxiety/depression¬ so this is not helping,I feel empty,My parents hate me,I hate myself,ccan you help?',I DONT KNOW WHAT TO DO,I feel ugly,I'm lonely,I'm feeling lost,I'm overwhelmed,I hurt myself,I want to kill myself,i'm sad,I feel useless
abuses me,I'm addicted,I suffer from anxiety,this bot is bad,I feel low because of COVID,I am feeling hopeless and joyless. I used to enjoy life and be happy just with little things. Since I started a new job I feel miserable¬ I hate the job and I am not doing activities I normally enjoy.,I can't feel anything,I just found out my girlfriend had sex with my brother,I hate myself,help,I dont know what to do,I feel ugly,I'm lonely,I'm feeling lost,I'm feeling overwhelmed,I'm a self-harmer,I want to kill myself,im sad,and it just makes me feel useless
abuses me,I'm addicted,I suffer from anxiety,this bot is bad,I can't cope with COVID,my depression started two years ago when i wa bullied and have been sens that day,,I cant seem to find a girlfriend no matter what I do. ,I hate myself,i need help but i cant open up to anyone,"I just dont know what to do¬ should I listen and just be dismissed or should I argue for this?""",I feel ugly,I'm lonely,I'm feeling lost,Im scared,sometimes I cut myself,I'm feeling suicidal,I am sad,I'm totally useless
abuses me,I'm addicted,I suffer from anxiety,this bot is bad,I can't cope with coronavirus,"Im also tired. Work has been more demanding lately. I was previously diangosed with post partum depression/anxiety¬ and I was getting better¬ but I stopped my medication.""",,,I hate myself,help me please,I just am not sure what to do,I feel ugly,I'm lonely,I'm feeling lost,"Its just been really rough¬ and with all the stuff going on right now¬ (The pandemic¬ protests¬ ect.) Its just been worse.""",I cut when I'm feeling down,I'm feeling suicidal,i'm sad,I can't believe how useless I am
I'm a victim of abuse,I'm addicted,I'm suffering from anxiety,this bot is bad,I can't cope with the pandemic,I suffer from depression,,I found a guy I really like and he friendzoned me and I feel like I will be alone forever.,I hate myself,help me,I dont know what to do in such a tough situation,I feel ugly,I'm lonely,I'm feeling lost,And Im sick and I just want to go home and cry.,Sometimes when I'm feeling low I cut myself,I want to end my life,im sad,I'm worthless
I'm a victim of abuse,I'm addicted,I'm suffering from anxiety,this bot is bad,I really hate COVID,I have depression,,I have been trying to date for so long and nobody wants me. And this guy was so perfect and I was se excited and he doesnt want me either,I really hate myself,,what do i do?',I feel ugly,I'm alone,I'm feeling lost,Yeah¬ I just wish I didnt have to do so much work in school.,When I feel bad I hurt myself,I want to end my life,i feel sad,I feel worthless
I'm a victim of abuse,I'm an addict,I'm suffering from anxiety,this bot is awful,COVID is making me lonely,,,yes my family,I despise myself,,,I feel ugly,I'm alone,I'm feeling lost,I have too much to do,When I feel bad I cut my arm,I want to end it all,i am feeling sad,and it just makes me feel worthless
I'm a victim of abuse,I'm an addict,I'm suffering from anxiety,this bot is awful,Coronavirus is making me lonely,,,I feel stuck between my husband/child and my parents.',I can't stand myself,,,I am ugly,I'm alone,but inside im fricken lost,I can't cope,When I feel bad I cut my leg,I'm going to kill myself,i'm feeling sad,I'm totally worthless
I'm a victim of abuse,I'm an addict,I'm suffering from anxiety,this bot is awful,The pandemic is making me lonely,,,I just feel like no one cares how I feel about the situation with my family.',I loathe myself,,,I am ugly,"Im a good person. I see that. I just... no one treats me like Im deserving of affection¬ yknow? Even when Im explicit about what I need¬ people fail me.""",im so lost,I cant handle all of the pressure,I try to stop myself from cutting,I'm going to end my life today,im feeling sad,I can't believe how worthless I am
